,STATE,DISTRICT,CASES,cluster
158,BIHAR,SIWAN,41248,Low crime area
159,BIHAR,SUPAUL,26639,Low crime area
161,BIHAR,VAISHALI,61119,High crime area
163,CHANDIGARH,CHANDIGARH,48105,Low crime area
166,CHHATTISGARH,BALOD,3811,Very low crime area
167,CHHATTISGARH,BALODA BAZAR,4655,Very low crime area
168,CHHATTISGARH,BALODBAZAR,2578,Very low crime area
169,CHHATTISGARH,BALRAMPUR,10339,Very low crime area
170,CHHATTISGARH,BEMETARA,2808,Very low crime area
171,CHHATTISGARH,BEMETRA,1645,Very low crime area
172,CHHATTISGARH,BILASPUR,75057,High crime area
173,CHHATTISGARH,BIZAPUR,4594,Very low crime area
174,CHHATTISGARH,DANTEWARA,8904,Very low crime area
175,CHHATTISGARH,DHAMTARI,18529,Very low crime area
176,CHHATTISGARH,DURG,100735,Very high crime area
177,CHHATTISGARH,G. R. P. RAIPUR,400,Very low crime area
178,CHHATTISGARH,GARIYABAND,3332,Very low crime area
179,CHHATTISGARH,GRP RAIPUR,4273,Very low crime area
180,CHHATTISGARH,JAGDALPUR,27471,Low crime area
181,CHHATTISGARH,JANJGIR,38864,Low crime area
182,CHHATTISGARH,JASHPUR,14825,Very low crime area
183,CHHATTISGARH,KABIRDHAM,16709,Very low crime area
184,CHHATTISGARH,KANKER,14180,Very low crime area
185,CHHATTISGARH,KAWARDHA,685,Very low crime area
186,CHHATTISGARH,KOLLAM RURAL,1938,Very low crime area
187,CHHATTISGARH,KORBA,32894,Low crime area
188,CHHATTISGARH,KORIYA,22082,Low crime area
189,CHHATTISGARH,MAHASAMUND,23840,Low crime area
190,CHHATTISGARH,MUNGALI,938,Very low crime area
191,CHHATTISGARH,MUNGELI,2231,Very low crime area
192,CHHATTISGARH,NARAYANPUR,2021,Very low crime area
193,CHHATTISGARH,RAIGARH,36006,Low crime area
194,CHHATTISGARH,RAIPUR,115723,Very high crime area
195,CHHATTISGARH,RAJNANDGAON,39120,Low crime area
196,CHHATTISGARH,SARGUJA,29455,Low crime area
197,CHHATTISGARH,SUKMA,658,Very low crime area
198,CHHATTISGARH,SURAJPUR,14796,Very low crime area
201,D&N HAVELI,D AND N HAVELI,4651,Very low crime area
202,D&N HAVELI,D&N HAVELI,591,Very low crime area
205,DAMAN & DIU,DAMAN,2813,Very low crime area
206,DAMAN & DIU,DIU,613,Very low crime area
209,DELHI,CAW,796,Very low crime area
210,DELHI,CENTRAL,38329,Low crime area
211,DELHI,CRIME BRANCH,393,Very low crime area
212,DELHI,DELHI UT TOTAL,152842,Very high crime area
213,DELHI,EAST,68298,High crime area
214,DELHI,EOW,783,Very low crime area
215,DELHI,G.R.P.(RLY),6640,Very low crime area
216,DELHI,GRP(RLY),6442,Very low crime area
217,DELHI,I.G.I. AIRPORT,2700,Very low crime area
218,DELHI,IGI AIRPORT,5151,Very low crime area
219,DELHI,NEW DELHI,23713,Low crime area
220,DELHI,NORTH,38613,Low crime area
221,DELHI,NORTH EAST,13427,Very low crime area
222,DELHI,NORTH WEST,37814,Low crime area
223,DELHI,NORTH-EAST,41291,Low crime area
224,DELHI,NORTH-WEST,50681,Low crime area
225,DELHI,OUTER,33853,Low crime area
226,DELHI,S.T.F.,158,Very low crime area
227,DELHI,SOUTH,95628,High crime area
228,DELHI,SOUTH WEST,21314,Low crime area
229,DELHI,SOUTH-EAST,31194,Low crime area
230,DELHI,SOUTH-WEST,38093,Low crime area
231,DELHI,SPL CELL,133,Very low crime area
232,DELHI,STF,181,Very low crime area
